{'epoch': 0, 'iteration': 0, 'iteration_by_epoch': 0, 'total loss': '24.35511', 'rpn loss': '23.10685', 'class loss': '1.24826', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 1, 'iteration_by_epoch': 0, 'total loss': '45.13987', 'rpn loss': '44.55014', 'class loss': '0.58973', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 2, 'iteration_by_epoch': 0, 'total loss': '164.50367', 'rpn loss': '163.34229', 'class loss': '1.16138', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 3, 'iteration_by_epoch': 0, 'total loss': '55.13817', 'rpn loss': '53.63143', 'class loss': '1.50674', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 4, 'iteration_by_epoch': 0, 'total loss': '114.67521', 'rpn loss': '113.90856', 'class loss': '0.76665', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 5, 'iteration_by_epoch': 0, 'total loss': '44.55562', 'rpn loss': '43.61548', 'class loss': '0.94014', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 6, 'iteration_by_epoch': 0, 'total loss': '50.29103', 'rpn loss': '47.08538', 'class loss': '3.20565', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 7, 'iteration_by_epoch': 0, 'total loss': '14.47770', 'rpn loss': '11.91018', 'class loss': '2.56753', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 8, 'iteration_by_epoch': 0, 'total loss': '17.89250', 'rpn loss': '16.65403', 'class loss': '1.23847', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 9, 'iteration_by_epoch': 0, 'total loss': '14.71213', 'rpn loss': '13.56894', 'class loss': '1.14319', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 10, 'iteration_by_epoch': 0, 'total loss': '25.71603', 'rpn loss': '24.63637', 'class loss': '1.07966', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 11, 'iteration_by_epoch': 0, 'total loss': '21.66744', 'rpn loss': '21.02469', 'class loss': '0.64275', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 12, 'iteration_by_epoch': 0, 'total loss': '15.12832', 'rpn loss': '14.48334', 'class loss': '0.64498', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 13, 'iteration_by_epoch': 0, 'total loss': '17.77160', 'rpn loss': '15.34374', 'class loss': '2.42787', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 14, 'iteration_by_epoch': 0, 'total loss': '25.64004', 'rpn loss': '24.59666', 'class loss': '1.04337', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 15, 'iteration_by_epoch': 0, 'total loss': '9.15914', 'rpn loss': '8.90072', 'class loss': '0.25842', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 16, 'iteration_by_epoch': 0, 'total loss': '20.00211', 'rpn loss': '19.07932', 'class loss': '0.92279', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 17, 'iteration_by_epoch': 0, 'total loss': '12.39608', 'rpn loss': '11.39441', 'class loss': '1.00167', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 18, 'iteration_by_epoch': 0, 'total loss': '25.70302', 'rpn loss': '24.92146', 'class loss': '0.78156', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 19, 'iteration_by_epoch': 0, 'total loss': '9.05940', 'rpn loss': '8.30700', 'class loss': '0.75241', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 20, 'iteration_by_epoch': 0, 'total loss': '21.21022', 'rpn loss': '19.82030', 'class loss': '1.38992', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 21, 'iteration_by_epoch': 0, 'total loss': '21.08160', 'rpn loss': '20.51054', 'class loss': '0.57107', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 22, 'iteration_by_epoch': 0, 'total loss': '10.55518', 'rpn loss': '9.88814', 'class loss': '0.66704', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 23, 'iteration_by_epoch': 0, 'total loss': '12.35101', 'rpn loss': '11.49276', 'class loss': '0.85825', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 24, 'iteration_by_epoch': 0, 'total loss': '10.37767', 'rpn loss': '9.61909', 'class loss': '0.75858', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 25, 'iteration_by_epoch': 0, 'total loss': '16.75424', 'rpn loss': '16.23840', 'class loss': '0.51583', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 26, 'iteration_by_epoch': 0, 'total loss': '31.91571', 'rpn loss': '31.56119', 'class loss': '0.35451', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 27, 'iteration_by_epoch': 0, 'total loss': '13.54511', 'rpn loss': '12.60779', 'class loss': '0.93732', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 28, 'iteration_by_epoch': 0, 'total loss': '13.55653', 'rpn loss': '13.24611', 'class loss': '0.31042', 'batch_size': 4, 'lr': 0.005}
{'epoch': 0, 'iteration': 29, 'iteration_by_epoch': 0, 'total loss': '21.91877', 'rpn loss': '21.55705', 'class loss': '0.36172', 'batch_size': 4, 'lr': 0.005}
