[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
INFO: You are using a CUDA device ('NVIDIA GeForce RTX 3090') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
INFO:lightning.pytorch.utilities.rank_zero:You are using a CUDA device ('NVIDIA GeForce RTX 3090') that has Tensor Cores. To properly utilize them, you should set `torch.set_float32_matmul_precision('medium' | 'high')` which will trade-off precision for performance. For more details, read https://pytorch.org/docs/stable/generated/torch.set_float32_matmul_precision.html#torch.set_float32_matmul_precision
INFO: Initializing distributed: GLOBAL_RANK: 0, MEMBER: 1/1
INFO:lightning.fabric.utilities.distributed:Initializing distributed: GLOBAL_RANK: 0, MEMBER: 1/1
INFO: ----------------------------------------------------------------------------------------------------
distributed_backend=nccl
All distributed processes registered. Starting with 1 processes
----------------------------------------------------------------------------------------------------
INFO:lightning.pytorch.utilities.rank_zero:----------------------------------------------------------------------------------------------------
distributed_backend=nccl
All distributed processes registered. Starting with 1 processes
----------------------------------------------------------------------------------------------------
INFO:timm.models._builder:Loading pretrained weights from Hugging Face hub (timm/maxvit_xlarge_tf_512.in21k_ft_in1k)
INFO:timm.models._hub:[timm/maxvit_xlarge_tf_512.in21k_ft_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
INFO:RS_utils:{'input_size': (3, 512, 512), 'interpolation': 'bicubic', 'mean': (0.5, 0.5, 0.5), 'std': (0.5, 0.5, 0.5), 'crop_pct': 1.0, 'crop_mode': 'squash'}
INFO:RS_utils:Compose(
    Resize(size=(512, 512), interpolation=bicubic, max_size=None, antialias=warn)
    CenterCrop(size=(512, 512))
    ToTensor()
    Normalize(mean=tensor([0.5000, 0.5000, 0.5000]), std=tensor([0.5000, 0.5000, 0.5000]))
)
fabric
INFO:RS_utils:{'epoch': 0, 'iteration': 0, 'progress': 0.0, 'loss': 2.1259, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 1, 'progress': 0.0, 'loss': 2.0209, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 2, 'progress': 0.01, 'loss': 2.7509, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 3, 'progress': 0.02, 'loss': 2.0278, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 4, 'progress': 0.02, 'loss': 1.3183, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 5, 'progress': 0.03, 'loss': 1.415, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 6, 'progress': 0.04, 'loss': 2.1489, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 7, 'progress': 0.05, 'loss': 3.1367, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 8, 'progress': 0.05, 'loss': 2.5488, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 9, 'progress': 0.06, 'loss': 2.4697, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 10, 'progress': 0.07, 'loss': 1.164, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 11, 'progress': 0.07, 'loss': 1.2739, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 12, 'progress': 0.08, 'loss': 1.9707, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 13, 'progress': 0.09, 'loss': 3.4111, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 14, 'progress': 0.1, 'loss': 2.3808, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 15, 'progress': 0.1, 'loss': 1.2563, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 16, 'progress': 0.11, 'loss': 2.0874, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 17, 'progress': 0.12, 'loss': 1.8012, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 18, 'progress': 0.13, 'loss': 1.4472, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 19, 'progress': 0.13, 'loss': 0.7258, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 20, 'progress': 0.14, 'loss': 2.1875, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 21, 'progress': 0.15, 'loss': 1.6411, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 22, 'progress': 0.15, 'loss': 2.7333, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 23, 'progress': 0.16, 'loss': 1.7817, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 24, 'progress': 0.17, 'loss': 2.0058, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 25, 'progress': 0.18, 'loss': 2.9091, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 26, 'progress': 0.18, 'loss': 2.0986, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 27, 'progress': 0.19, 'loss': 1.9223, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 28, 'progress': 0.2, 'loss': 1.4228, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 29, 'progress': 0.21, 'loss': 1.77, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 30, 'progress': 0.21, 'loss': 2.1142, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 31, 'progress': 0.22, 'loss': 1.7167, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 32, 'progress': 0.23, 'loss': 2.1938, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 33, 'progress': 0.23, 'loss': 1.4848, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 34, 'progress': 0.24, 'loss': 2.2626, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 35, 'progress': 0.25, 'loss': 1.3662, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 36, 'progress': 0.26, 'loss': 1.3991, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 37, 'progress': 0.26, 'loss': 1.2255, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 38, 'progress': 0.27, 'loss': 1.9028, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 39, 'progress': 0.28, 'loss': 1.0694, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 40, 'progress': 0.28, 'loss': 1.8242, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 41, 'progress': 0.29, 'loss': 1.4356, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 42, 'progress': 0.3, 'loss': 2.749, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 43, 'progress': 0.31, 'loss': 1.3791, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 44, 'progress': 0.31, 'loss': 1.2936, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 45, 'progress': 0.32, 'loss': 0.9361, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 46, 'progress': 0.33, 'loss': 2.0751, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 47, 'progress': 0.34, 'loss': 1.7919, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 48, 'progress': 0.34, 'loss': 1.7353, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 49, 'progress': 0.35, 'loss': 1.2501, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 50, 'progress': 0.36, 'loss': 2.018, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 51, 'progress': 0.36, 'loss': 1.9218, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 52, 'progress': 0.37, 'loss': 1.621, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 53, 'progress': 0.38, 'loss': 2.1972, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 54, 'progress': 0.39, 'loss': 1.7465, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 55, 'progress': 0.39, 'loss': 2.2656, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 56, 'progress': 0.4, 'loss': 1.4132, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 57, 'progress': 0.41, 'loss': 1.4365, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 58, 'progress': 0.42, 'loss': 1.8076, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 59, 'progress': 0.42, 'loss': 0.9712, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 60, 'progress': 0.43, 'loss': 1.19, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 61, 'progress': 0.44, 'loss': 0.1599, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 62, 'progress': 0.44, 'loss': 1.6588, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 63, 'progress': 0.45, 'loss': 1.4328, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 64, 'progress': 0.46, 'loss': 3.2968, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 65, 'progress': 0.47, 'loss': 1.6263, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 66, 'progress': 0.47, 'loss': 1.5058, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 67, 'progress': 0.48, 'loss': 2.1713, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 68, 'progress': 0.49, 'loss': 1.0518, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 69, 'progress': 0.5, 'loss': 1.3862, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 70, 'progress': 0.5, 'loss': 1.7094, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 71, 'progress': 0.51, 'loss': 2.2304, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 72, 'progress': 0.52, 'loss': 1.9418, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 73, 'progress': 0.52, 'loss': 2.0332, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 74, 'progress': 0.53, 'loss': 1.435, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 75, 'progress': 0.54, 'loss': 2.5615, 'batch_size': 2, 'lr': 0.00025}
INFO:RS_utils:{'epoch': 0, 'iteration': 76, 'progress': 0.55, 'loss': 1.7353, 'batch_size': 2, 'lr': 0.00025}
